bbl,rs_units_19,rs_units_20,rs_units_21,total_units_19,total_units_20,total_units_21,boro,cd,ct_10,year_built,bldg_class,rs_share_19,rs_share_20,rs_share_21
1004070042,10,10,10,21,21,21,1,103,0034,1900,C4,0.47619047619047616,0.47619047619047616,0.47619047619047616
1004080020,20,20,0,21,21,21,1,103,0018,1900,C4,0.9523809523809523,0.9523809523809523,0
1004110008,6,5,5,28,28,28,1,103,003001,1900,C7,0.21428571428571427,0.17857142857142858,0.17857142857142858
1004110021,20,18,19,20,20,20,1,103,003001,1900,C7,1,0.9,0.95
1004110034,5,5,5,20,20,20,1,103,003001,1920,C7,0.25,0.25,0.25
1004120027,2,2,2,15,15,15,1,103,003001,1900,C7,0.13333333333333333,0.13333333333333333,0.13333333333333333
1004120041,2,2,2,16,16,16,1,103,003001,1880,C7,0.125,0.125,0.125
1004120062,2,2,2,6,6,6,1,103,003001,1900,S9,0.3333333333333333,0.3333333333333333,0.3333333333333333
1004130017,16,16,16,17,17,17,1,103,0018,1920,C7,0.9411764705882353,0.9411764705882353,0.9411764705882353
1004140030,8,8,8,8,8,8,1,103,0018,1900,C4,1,1,1
1004140062,3,0,0,8,8,8,1,103,0018,1900,C4,0.375,0,0
1004150025,18,18,18,22,22,22,1,103,0018,1910,C7,0.8181818181818182,0.8181818181818182,0.8181818181818182
1004160061,10,10,10,10,10,10,1,103,003001,1900,C7,1,1,1
1004240026,15,15,15,15,15,15,1,103,0018,1900,C7,1,1,1
1004240040,11,10,10,21,21,21,1,103,0018,1900,C7,0.5238095238095238,0.47619047619047616,0.47619047619047616
1004250019,8,8,8,16,16,16,1,103,0018,1900,C7,0.5,0.5,0.5
1004250035,3,3,3,8,8,8,1,103,0018,1900,C4,0.375,0.375,0.375
1004260044,4,3,3,23,23,23,1,103,003601,1920,C7,0.17391304347826086,0.13043478260869565,0.13043478260869565
1004340015,2,2,2,8,8,8,1,103,0032,1875,C7,0.25,0.25,0.25
1004340040,2,0,0,10,10,10,1,103,0032,1861,C4,0.2,0,0
1004340051,8,7,4,26,26,26,1,103,0032,1899,D1,0.3076923076923077,0.2692307692307692,0.15384615384615385
1004360025,2,2,2,6,6,6,1,103,0032,1900,S5,0.3333333333333333,0.3333333333333333,0.3333333333333333
1004360039,3,3,3,22,22,22,1,103,0032,1900,C7,0.13636363636363635,0.13636363636363635,0.13636363636363635
1004370013,1,1,1,7,7,7,1,103,0034,1900,C4,0.14285714285714285,0.14285714285714285,0.14285714285714285
1004370029,11,11,11,14,14,14,1,103,0034,1900,C7,0.7857142857142857,0.7857142857142857,0.7857142857142857
1004380013,11,11,11,11,11,11,1,103,0034,1920,D1,1,1,1
1004380021,17,17,17,17,17,17,1,103,0034,1920,D1,1,1,1
1004380044,4,4,4,16,16,16,1,103,0034,1920,C7,0.25,0.25,0.25
1004400021,11,10,11,35,35,35,1,103,0034,1900,C4,0.3142857142857143,0.2857142857142857,0.3142857142857143
1004410002,12,12,12,12,12,12,1,103,0034,1900,C7,1,1,1
1004410035,9,9,8,35,35,35,1,103,0034,1900,C7,0.2571428571428571,0.2571428571428571,0.22857142857142856
1004420015,4,4,4,13,13,13,1,103,003602,1900,C7,0.3076923076923077,0.3076923076923077,0.3076923076923077
1004430061,0,8,0,8,8,8,1,103,003602,1910,C7,0,1,0
1004440034,36,37,36,72,72,72,1,103,003602,1910,D9,0.5,0.5138888888888888,0.5
1004450030,3,4,4,8,8,8,1,103,0038,1910,C7,0.375,0.5,0.5
1004460035,5,5,5,19,19,19,1,103,0038,1900,C7,0.2631578947368421,0.2631578947368421,0.2631578947368421
1004470007,0,6,1,6,6,6,1,103,0038,1847,S5,0,1,0.16666666666666666
1004470017,10,8,8,20,20,20,1,103,0038,1863,C7,0.5,0.4,0.4
1004470040,17,17,17,19,19,19,1,103,0038,1900,C1,0.8947368421052632,0.8947368421052632,0.8947368421052632
1004470053,16,16,16,34,34,34,1,103,0038,1900,C7,0.47058823529411764,0.47058823529411764,0.47058823529411764
1004480022,9,8,8,22,22,22,1,103,0038,1852,C7,0.4090909090909091,0.36363636363636365,0.36363636363636365
1004480041,10,8,8,20,20,20,1,103,0038,1894,C1,0.5,0.4,0.4
1004490004,9,8,8,22,22,22,1,103,0038,1920,C7,0.4090909090909091,0.36363636363636365,0.36363636363636365
1004490015,3,3,3,19,19,19,1,103,0038,1920,D4,0.15789473684210525,0.15789473684210525,0.15789473684210525
1004500012,8,8,8,16,16,16,1,103,0038,1910,C7,0.5,0.5,0.5
1004500024,1,1,1,10,10,10,1,103,0038,1900,C4,0.1,0.1,0.1
